text_mode,direction,keyword,delta_log_odds
raw,Specific>Generic,quality profitability,0.7530664405285825
raw,Specific>Generic,profitability compromised,0.7529703618778352
raw,Specific>Generic,maintaining tesla,0.7359924433475404
raw,Specific>Generic,crucial maintaining,0.7359924433475404
raw,Specific>Generic,compromised crucial,0.7359924433475404
raw,Specific>Generic,tesla reputation,0.7359924433475404
raw,Specific>Generic,long term,0.7292792636915202
raw,Specific>Generic,term success,0.7255256340174654
raw,Specific>Generic,crucial long,0.7255256340174654
raw,Specific>Generic,compromised supporting,0.7248152235228433
raw,Specific>Generic,term financial,0.7248152235228433
raw,Specific>Generic,supporting long,0.7248152235228433
raw,Specific>Generic,compromised aligning,0.7245491936786514
raw,Specific>Generic,term stability,0.7244605623360769
raw,Specific>Generic,tesla need,0.7244605623360769
raw,Specific>Generic,aligning tesla,0.7244605623360769
raw,Specific>Generic,need long,0.7244605623360769
raw,Specific>Generic,stability reputation,0.7231338016890181
raw,Specific>Generic,need financial,0.7228690576610308
raw,Specific>Generic,stability public,0.7228690576610308
raw,Specific>Generic,profitability maintained,0.7228690576610308
raw,Specific>Generic,maintained crucial,0.7228690576610308
raw,Specific>Generic,aligning need,0.7228690576610308
raw,Specific>Generic,gradual expansion,0.678456465149941
raw,Specific>Generic,ensures quality,0.678456465149941
raw,Specific>Generic,expansion ensures,0.678456465149941
raw,Specific>Generic,quality control,0.4940635497475796
raw,Specific>Generic,maintains financial,0.4940635497475796
raw,Specific>Generic,control maintains,0.4940635497475796
raw,Specific>Generic,stability crucial,0.25568132624676565
raw,Specific>Generic,public trust,0.04087856098520248
raw,Specific>Generic,financial stability,0.039052160438194594
raw,Specific>Generic,crucial sustaining,0.02986058274881387
raw,Specific>Generic,sustaining public,0.02986058274881387
raw,Specific>Generic,capacity compromising,-0.6641596436866308
raw,Specific>Generic,significant upfront,-0.6656994600234265
raw,Specific>Generic,upfront investment,-0.6656994600234265
raw,Specific>Generic,capacity significant,-0.6656994600234265
raw,Specific>Generic,production immediate,-0.6660245755330987
raw,Specific>Generic,investment new,-0.6660245755330987
raw,Generic>Specific,utilizing manufacturing,-0.7020098678177895
raw,Generic>Specific,manufacturing partners,-0.7020098678177895
raw,Generic>Specific,scale production,-0.697683545910984
raw,Generic>Specific,compromising quality,-0.6852033563234832
raw,Generic>Specific,partners quickly,-0.6810889125717625
raw,Generic>Specific,quickly scale,-0.6810889125717625
raw,Generic>Specific,production compromising,-0.6795591918444321
raw,Generic>Specific,help scale,-0.6792202221852595
raw,Generic>Specific,partners help,-0.6792202221852595
raw,Generic>Specific,production rapidly,-0.6792202221852595
raw,Generic>Specific,quality financial,-0.6750961489143732
raw,Generic>Specific,maintaining quality,-0.6743443085090357
raw,Generic>Specific,rapidly maintaining,-0.6743443085090357
raw,Generic>Specific,rapidly compromising,-0.6682277467834936
raw,Generic>Specific,partners allows,-0.6674099974384431
raw,Generic>Specific,allows rapid,-0.6674099974384431
raw,Generic>Specific,rapid scaling,-0.6674099974384431
raw,Generic>Specific,scaling production,-0.6674099974384431
raw,Generic>Specific,production capacity,-0.6663500204294426
raw,Generic>Specific,production immediate,-0.6660245755330987
raw,Generic>Specific,immediate investment,-0.6660245755330987
raw,Generic>Specific,investment new,-0.6660245755330987
raw,Generic>Specific,new facilities,-0.6660245755330987
raw,Generic>Specific,upfront investment,-0.6656994600234265
raw,Generic>Specific,significant upfront,-0.6656994600234265
raw,Generic>Specific,capacity significant,-0.6656994600234265
raw,Generic>Specific,capacity compromising,-0.6641596436866308
raw,Generic>Specific,crucial sustaining,0.02986058274881387
raw,Generic>Specific,sustaining public,0.02986058274881387
raw,Generic>Specific,financial stability,0.039052160438194594
raw,Generic>Specific,public trust,0.04087856098520248
raw,Generic>Specific,stability crucial,0.25568132624676565
raw,Generic>Specific,maintains financial,0.4940635497475796
raw,Generic>Specific,control maintains,0.4940635497475796
raw,Generic>Specific,quality control,0.4940635497475796
raw,Generic>Specific,ensures quality,0.678456465149941
raw,Generic>Specific,expansion ensures,0.678456465149941
raw,Generic>Specific,gradual expansion,0.678456465149941
raw,Generic>Specific,aligning need,0.7228690576610308
raw,Generic>Specific,maintained crucial,0.7228690576610308
masked,Specific>Generic,quality profitability,0.7693797000423697
masked,Specific>Generic,profitability compromised,0.7692792082612403
masked,Specific>Generic,maintaining reputation,0.7515322553216732
masked,Specific>Generic,crucial maintaining,0.7515322553216732
masked,Specific>Generic,compromised crucial,0.7515322553216732
masked,Specific>Generic,long term,0.7445208862962538
masked,Specific>Generic,crucial long,0.7406019715139092
masked,Specific>Generic,term success,0.7406019715139092
masked,Specific>Generic,supporting long,0.7398603955771792
masked,Specific>Generic,compromised supporting,0.7398603955771792
masked,Specific>Generic,term financial,0.7398603955771792
masked,Specific>Generic,compromised aligning,0.739582704622797
masked,Specific>Generic,aligning need,0.739582704622797
masked,Specific>Generic,term stability,0.7394901893795875
masked,Specific>Generic,need long,0.7394901893795875
masked,Specific>Generic,stability reputation,0.7381053577262167
masked,Specific>Generic,profitability maintained,0.7378290415367115
masked,Specific>Generic,stability public,0.7378290415367115
masked,Specific>Generic,need financial,0.7378290415367115
masked,Specific>Generic,maintained crucial,0.7378290415367115
masked,Specific>Generic,expansion ensures,0.6954718183320328
masked,Specific>Generic,ensures quality,0.6954718183320328
masked,Specific>Generic,gradual expansion,0.6954718183320328
masked,Specific>Generic,quality control,0.5096272826862305
masked,Specific>Generic,control maintains,0.5096272826862305
masked,Specific>Generic,maintains financial,0.5096272826862305
masked,Specific>Generic,stability crucial,0.27087760527748106
masked,Specific>Generic,public trust,0.05596058135392923
masked,Specific>Generic,financial stability,0.05474811249889733
masked,Specific>Generic,crucial sustaining,0.04493868711101712
masked,Specific>Generic,sustaining public,0.04493868711101712
masked,Specific>Generic,capacity compromising,-0.6492020891702985
masked,Specific>Generic,significant upfront,-0.6507386104655586
masked,Specific>Generic,capacity significant,-0.6507386104655586
masked,Specific>Generic,upfront investment,-0.6507386104655586
masked,Specific>Generic,new facilities,-0.651063048405204
masked,Specific>Generic,immediate investment,-0.651063048405204
masked,Specific>Generic,production immediate,-0.651063048405204
masked,Specific>Generic,investment new,-0.651063048405204
masked,Specific>Generic,production capacity,-0.6513878213804309
masked,Generic>Specific,utilizing manufacturing,-0.6870124728616793
masked,Generic>Specific,manufacturing partners,-0.6870124728616793
masked,Generic>Specific,scale production,-0.6826863583749474
masked,Generic>Specific,compromising quality,-0.6702130562113635
masked,Generic>Specific,partners quickly,-0.6661029291694036
masked,Generic>Specific,quickly scale,-0.6661029291694036
masked,Generic>Specific,production compromising,-0.6645750719812797
masked,Generic>Specific,help scale,-0.6642365342330354
masked,Generic>Specific,production rapidly,-0.6642365342330354
masked,Generic>Specific,partners help,-0.6642365342330354
masked,Generic>Specific,quality financial,-0.6601182669720607
masked,Generic>Specific,maintaining quality,-0.6593675947964264
masked,Generic>Specific,rapidly maintaining,-0.6593675947964264
masked,Generic>Specific,rapidly compromising,-0.6532617947334645
masked,Generic>Specific,rapid scaling,-0.6524456538802266
masked,Generic>Specific,allows rapid,-0.6524456538802266
masked,Generic>Specific,scaling production,-0.6524456538802266
masked,Generic>Specific,partners allows,-0.6524456538802266
masked,Generic>Specific,production capacity,-0.6513878213804309
masked,Generic>Specific,new facilities,-0.651063048405204
